model_type,variation_name,parameter_name,parameter_value,bias_squared,variance,mse
rf,ensemble_size,n_estimators,5.0,5507.449542424044,2163.2925252042132,7670.742067628257
xgb,ensemble_size,n_estimators,5.0,16949.667710654125,157.80901349223245,17107.476724146356
bagged_xgb,ensemble_size,outer_n_estimators,5.0,1800.6560843046386,182.61149651330942,1983.267580817948
rf,ensemble_size,n_estimators,10.0,5187.476728672495,1088.7040543275373,6276.180783000032
xgb,ensemble_size,n_estimators,10.0,11242.923581951534,252.6784812441992,11495.602063195733
bagged_xgb,ensemble_size,outer_n_estimators,10.0,1800.5100772341054,148.43993556645844,1948.9500128005639
rf,ensemble_size,n_estimators,25.0,5172.796253195662,484.1373890250251,5656.933642220687
xgb,ensemble_size,n_estimators,25.0,4533.7093853194365,351.9830228107575,4885.692408130194
bagged_xgb,ensemble_size,outer_n_estimators,25.0,1803.0929212515796,127.98243458604088,1931.0753558376205
rf,ensemble_size,n_estimators,50.0,5294.438951795878,286.9787672618982,5581.417719057777
xgb,ensemble_size,n_estimators,50.0,1719.9018962402074,359.1010047687926,2079.002901009
bagged_xgb,ensemble_size,outer_n_estimators,50.0,1801.8126410981147,121.1837925890582,1922.9964336871728
rf,ensemble_size,n_estimators,100.0,5217.555181430134,192.2285277698243,5409.783709199959
xgb,ensemble_size,n_estimators,100.0,783.1314645234212,351.6428420002922,1134.7743065237134
bagged_xgb,ensemble_size,outer_n_estimators,100.0,1802.3176581053724,116.99323875246304,1919.3108968578354
rf,ensemble_size,n_estimators,200.0,5197.804840879778,146.07288316637,5343.877724046148
xgb,ensemble_size,n_estimators,200.0,616.7186352560548,348.7051622983441,965.4237975543988
bagged_xgb,ensemble_size,outer_n_estimators,200.0,1802.0932657879919,115.34248076163655,1917.4357465496284
rf,depth,max_depth,2.0,19775.81261066462,60.177762239821796,19835.99037290444
xgb,depth,max_depth,2.0,2160.987878367174,202.9083196530306,2363.8961980202043
bagged_xgb,depth,inner_max_depth,2.0,5802.657774162144,107.10814354243915,5909.765917704583
rf,depth,max_depth,4.0,13383.176595203959,113.38998089218052,13496.566576096138
xgb,depth,max_depth,4.0,819.847485421384,301.2615589562299,1121.1090443776138
bagged_xgb,depth,inner_max_depth,4.0,2318.0748564904584,136.1092127766744,2454.1840692671326
rf,depth,max_depth,6.0,9215.7588557771,156.33715605337852,9372.096011830477
xgb,depth,max_depth,6.0,865.1919790205556,396.2080984389218,1261.4000774594774
bagged_xgb,depth,inner_max_depth,6.0,1618.6001839540436,161.5129265351988,1780.1131104892424
rf,depth,max_depth,8.0,6711.749680204602,179.2185744715898,6890.9682546761915
xgb,depth,max_depth,8.0,1303.3840178335945,471.98144532788416,1775.3654631614786
bagged_xgb,depth,inner_max_depth,8.0,1832.1903999621227,197.13465354459558,2029.3250535067182
rf,depth,max_depth,10.0,5217.555181430133,192.2285277698243,5409.783709199958
xgb,depth,max_depth,10.0,1946.8162111882705,626.8389506327962,2573.655161821067
