model_type,variation_name,parameter_name,parameter_value,bias_squared,variance,mse
rf,ensemble_size,n_estimators,5.0,0.3259370325389594,0.047443746198092385,0.3733807787370518
xgb,ensemble_size,n_estimators,5.0,0.7755620672681285,0.0033567639266709713,0.7789188311947994
bagged_xgb,ensemble_size,outer_n_estimators,5.0,0.2744681209501758,0.0069166051270819215,0.28138472607725773
rf,ensemble_size,n_estimators,10.0,0.3164966454998984,0.025002902010041076,0.3414995475099395
xgb,ensemble_size,n_estimators,10.0,0.5479974364885489,0.005180481687769892,0.5531779181763188
bagged_xgb,ensemble_size,outer_n_estimators,10.0,0.2742773185818838,0.005758315202228634,0.28003563378411245
rf,ensemble_size,n_estimators,25.0,0.3147751385481612,0.011850931413070035,0.3266260699612312
xgb,ensemble_size,n_estimators,25.0,0.3474858499472906,0.008302226239627742,0.3557880761869183
bagged_xgb,ensemble_size,outer_n_estimators,25.0,0.27412939305798834,0.005071772073247011,0.27920116513123533
rf,ensemble_size,n_estimators,50.0,0.31448552320519474,0.0075163223499426874,0.32200184555513744
xgb,ensemble_size,n_estimators,50.0,0.27266543484702505,0.010888466261023544,0.28355390110804857
bagged_xgb,ensemble_size,outer_n_estimators,50.0,0.2741241105374268,0.004834781952712563,0.2789588924901394
rf,ensemble_size,n_estimators,100.0,0.3138912274104602,0.005398993990240259,0.31929022140070046
xgb,ensemble_size,n_estimators,100.0,0.2392620492745112,0.013720629114588873,0.25298267838910005
bagged_xgb,ensemble_size,outer_n_estimators,100.0,0.2741990747155052,0.004752180439139204,0.2789512551546444
rf,ensemble_size,n_estimators,200.0,0.3108615405183024,0.004331333709743774,0.31519287422804615
xgb,ensemble_size,n_estimators,200.0,0.21676766190551164,0.017077527998090477,0.23384518990360212
bagged_xgb,ensemble_size,outer_n_estimators,200.0,0.2741706428142397,0.004700269038189647,0.27887091185242935
rf,depth,max_depth,2.0,0.8412466596162849,0.0016291037268416984,0.8428757633431265
xgb,depth,max_depth,2.0,0.3469337171776448,0.004697206508999092,0.3516309236866439
bagged_xgb,depth,inner_max_depth,2.0,0.42427570403495807,0.0020507555429144977,0.4263264595778726
rf,depth,max_depth,4.0,0.5880251599605827,0.0026101401002903866,0.5906353000608731
xgb,depth,max_depth,4.0,0.2605615749262003,0.01061466491366751,0.2711762398398678
bagged_xgb,depth,inner_max_depth,4.0,0.30123756019182363,0.004431410356194026,0.30566897054801767
rf,depth,max_depth,6.0,0.4426138605282971,0.003371427549731599,0.4459852880780287
xgb,depth,max_depth,6.0,0.22553526658067824,0.01702535183780549,0.24256061841848373
bagged_xgb,depth,inner_max_depth,6.0,0.25696607323147636,0.007035145374790772,0.26400121860626713
rf,depth,max_depth,8.0,0.36111945680450336,0.0044367895193986135,0.365556246323902
xgb,depth,max_depth,8.0,0.21403369006763345,0.023570147895462083,0.23760383796309553
bagged_xgb,depth,inner_max_depth,8.0,0.23967744319032513,0.0097060473245441,0.24938349051486924
rf,depth,max_depth,10.0,0.3138912274104602,0.005398993990240259,0.31929022140070046
xgb,depth,max_depth,10.0,0.22108423320533896,0.02991851127229673,0.2510027444776357
bagged_xgb,depth,inner_max_depth,10.0,0.24091271016353616,0.012542627469651353,0.2534553376331875
rf,depth,max_depth,15.0,0.26433050551052967,0.007714215554787081,0.27204472106531674
xgb,depth,max_depth,15.0,0.24476929134599806,0.05421836600467829,0.29898765735067634
bagged_xgb,depth,inner_max_depth,15.0,0.2559875159996389,0.019627046814911925,0.2756145628145509
rf,depth,max_depth,20.0,0.2567414533723346,0.0086284337111919,0.2653698870835265
xgb,depth,max_depth,20.0,0.25007215375290215,0.06577262722562165,0.3158447809785238
bagged_xgb,depth,inner_max_depth,20.0,0.259522759604526,0.021613340099057615,0.2811360997035836
rf,depth,max_depth,,0.2554300725905631,0.008713178502061781,0.2641432510926249
rf,train_size,_dataset_size,500.0,0.4564719328586373,0.026050383687456255,0.48252231654609357
xgb,train_size,_dataset_size,500.0,0.3937668203842477,0.07664301626525112,0.4704098366494988
bagged_xgb,train_size,_dataset_size,500.0,0.4183538999714959,0.03920808570561405,0.45756198567711
rf,train_size,_dataset_size,1000.0,0.40128371274066366,0.018367585448798112,0.4196512981894618
xgb,train_size,_dataset_size,1000.0,0.32666726804155144,0.04900674332006737,0.3756740113616188
bagged_xgb,train_size,_dataset_size,1000.0,0.3535784902640737,0.025492514207945363,0.379071004472019
rf,train_size,_dataset_size,2000.0,0.3690353537496965,0.014601113210918478,0.383636466960615
xgb,train_size,_dataset_size,2000.0,0.30270912365522107,0.037778145217957936,0.340487268873179
bagged_xgb,train_size,_dataset_size,2000.0,0.3273223613697703,0.018303417293332052,0.34562577866310235
rf,train_size,_dataset_size,4000.0,0.3390256947712672,0.010794262063530615,0.34981995683479783
xgb,train_size,_dataset_size,4000.0,0.25977902163661326,0.027963019004877528,0.2877420406414908
bagged_xgb,train_size,_dataset_size,4000.0,0.294906599364275,0.012836444459790566,0.30774304382406553
rf,train_size,_dataset_size,8000.0,0.3255681469043472,0.00787975342832644,0.33344790033267363
xgb,train_size,_dataset_size,8000.0,0.24820405152154215,0.02063727808489112,0.26884132960643325
bagged_xgb,train_size,_dataset_size,8000.0,0.2796009935446111,0.009279520091742127,0.28888051363635325
