model_type,variation_name,parameter_name,parameter_value,bias_squared,variance,mse
rf,ensemble_size,n_estimators,5,5507.449542424044,2163.2925252042132,7670.742067628257
xgb,ensemble_size,n_estimators,5,16949.667710654125,157.80901349223245,17107.476724146356
bagged_xgb,ensemble_size,outer_n_estimators,5,1800.6560843046386,182.61149651330942,1983.267580817948
rf,ensemble_size,n_estimators,10,5187.476728672494,1088.704054327537,6276.180783000031
xgb,ensemble_size,n_estimators,10,11242.923581951534,252.6784812441992,11495.602063195733
bagged_xgb,ensemble_size,outer_n_estimators,10,1800.5100772341054,148.43993556645844,1948.9500128005639
rf,ensemble_size,n_estimators,25,5172.796253195661,484.137389025025,5656.933642220686
xgb,ensemble_size,n_estimators,25,4533.7093853194365,351.9830228107575,4885.692408130194
bagged_xgb,ensemble_size,outer_n_estimators,25,1803.0929212515796,127.98243458604088,1931.0753558376205
rf,ensemble_size,n_estimators,50,5294.438951795878,286.9787672618982,5581.417719057777
xgb,ensemble_size,n_estimators,50,1719.9018962402074,359.1010047687926,2079.002901009
bagged_xgb,ensemble_size,outer_n_estimators,50,1801.8126410981147,121.1837925890582,1922.9964336871728
rf,ensemble_size,n_estimators,100,5217.555181430133,192.2285277698243,5409.783709199958
xgb,ensemble_size,n_estimators,100,783.1314645234212,351.6428420002922,1134.7743065237134
bagged_xgb,ensemble_size,outer_n_estimators,100,1802.3176581053724,116.99323875246304,1919.3108968578354
rf,ensemble_size,n_estimators,200,5197.804840879778,146.07288316637002,5343.877724046148
xgb,ensemble_size,n_estimators,200,616.7186352560548,348.7051622983441,965.4237975543988
bagged_xgb,ensemble_size,outer_n_estimators,200,1802.0932657879919,115.34248076163655,1917.4357465496284
