model_type,variation_name,parameter_name,parameter_value,bias_squared,variance,mse
rf,ensemble_size,n_estimators,5.0,4369.194264278245,2847.703870596556,7216.898134874801
xgb,ensemble_size,n_estimators,5.0,19927.757162474536,119.59693159581853,20047.354094070353
bagged_xgb,ensemble_size,outer_n_estimators,5.0,1090.9115399420639,140.61164965929825,1231.5231896013622
rf,ensemble_size,n_estimators,10.0,4164.065061487607,1413.0909530231993,5577.156014510806
xgb,ensemble_size,n_estimators,10.0,14976.364223196397,190.21927968402053,15166.583502880418
bagged_xgb,ensemble_size,outer_n_estimators,10.0,1089.0045951202753,110.60480872355754,1199.6094038438328
rf,ensemble_size,n_estimators,25.0,4124.192349403656,618.681235812835,4742.873585216492
xgb,ensemble_size,n_estimators,25.0,7719.859744320893,282.98938366261496,8002.849127983508
bagged_xgb,ensemble_size,outer_n_estimators,25.0,1089.3319402253146,93.07498266085845,1182.406922886173
rf,ensemble_size,n_estimators,50.0,4157.6715357816165,356.60083023272705,4514.272366014344
xgb,ensemble_size,n_estimators,50.0,3303.224119844776,305.8964127701103,3609.120532614886
bagged_xgb,ensemble_size,outer_n_estimators,50.0,1089.4630785225343,86.73796097505712,1176.2010394975914
rf,ensemble_size,n_estimators,100.0,4114.3740969113605,221.61953952900046,4335.993636440361
xgb,ensemble_size,n_estimators,100.0,1073.8223277413365,288.18903306904355,1362.01136081038
bagged_xgb,ensemble_size,outer_n_estimators,100.0,1089.2046586364422,84.17449348153072,1173.379152117973
rf,ensemble_size,n_estimators,200.0,4099.931888076052,153.88925986836446,4253.821147944416
xgb,ensemble_size,n_estimators,200.0,478.33856412179955,274.6936836508299,753.0322477726295
bagged_xgb,ensemble_size,outer_n_estimators,200.0,1088.9110526565948,82.73525594343646,1171.6463086000313
rf,depth,max_depth,2.0,19706.511059628036,55.665995750665914,19762.177055378703
xgb,depth,max_depth,2.0,342.4551369455638,182.9127047185879,525.3678416641517
bagged_xgb,depth,inner_max_depth,2.0,2023.1512716983832,101.0973108214929,2124.248582519876
rf,depth,max_depth,4.0,13354.845964256001,110.88350726201654,13465.729471518018
xgb,depth,max_depth,4.0,432.2672095999145,295.1981099106737,727.4653195105882
bagged_xgb,depth,inner_max_depth,4.0,823.1707259185573,116.41413685626377,939.5848627748211
